Certificate name,Issued by,Type,Key size,Sig alg,Serial number,Expires,EV policy,Fingerprint (SHA-256)
T-TeleSec GlobalRoot Class 2 ,T-TeleSec GlobalRoot Class 2 ,RSA ,2048 bits ,SHA-256 ,01 ,"23:59:59 Oct 1, 2033 ",1.3.6.1.4.1.7879.13.24.1 2.23.140.1.1 ,91 E2 F5 78 8D 58 10 EB A7 BA 58 73 7D E1 54 8A 8E CA CD 01 45 98 BC 0B 14 3E 04 1B 17 05 25 52 
T-TeleSec GlobalRoot Class 3 ,T-TeleSec GlobalRoot Class 3 ,RSA ,2048 bits ,SHA-256 ,01 ,"23:59:59 Oct 1, 2033 ",1.3.6.1.4.1.7879.13.24.1 2.23.140.1.1 ,FD 73 DA D3 1C 64 4F F1 B4 3B EF 0C CD DA 96 71 0B 9C D9 87 5E CA 7E 31 70 7A F3 E9 6D 52 2B BD 
TeliaSonera Root CA v1 ,TeliaSonera Root CA v1 ,RSA ,4096 bits ,SHA-1 ,00 95 BE 16 A0 F7 2E 46 F1 7B 39 82 72 FA 8B CD 96 ,"12:00:50 Oct 18, 2032 ",Not EV ,DD 69 36 FE 21 F8 F0 77 C1 23 A1 A5 21 C1 22 24 F7 22 55 B7 3E 03 A7 26 06 93 E8 A2 4B 0F A3 89 
thawte Primary Root CA - G3 ,thawte Primary Root CA - G3 ,RSA ,2048 bits ,SHA-256 ,60 01 97 B7 46 A7 EA B4 B4 9A D6 4B 2F F7 90 FB ,"23:59:59 Dec 1, 2037 ",2.16.840.1.113733.1.7.48.1 2.23.140.1.1 ,4B 03 F4 58 07 AD 70 F2 1B FC 2C AE 71 C9 FD E4 60 4C 06 4C F5 FF B6 86 BA E5 DB AA D7 FD D3 4C 
thawte Primary Root CA ,thawte Primary Root CA ,RSA ,2048 bits ,SHA-1 ,34 4E D5 57 20 D5 ED EC 49 F4 2F CE 37 DB 2B 6D ,"23:59:59 Jul 16, 2036 ",2.16.840.1.113733.1.7.48.1 2.23.140.1.1 ,8D 72 2F 81 A9 C1 13 C0 79 1D F1 36 A2 96 6D B2 6C 95 0A 97 1D B4 6B 41 99 F4 EA 54 B7 8B FB 9F 
TRUST2408 OCES Primary CA ,TRUST2408 OCES Primary CA ,RSA ,4096 bits ,SHA-256 ,4B 8E 60 03 ,"13:11:34 Dec 3, 2037 ",Not EV ,92 D8 09 2E E7 7B C9 20 8F 08 97 DC 05 27 18 94 E6 3E F2 79 33 AE 53 7F B9 83 EE F0 EA E3 EE C8 
TrustCor ECA-1 ,TrustCor ECA-1 ,RSA ,2048 bits ,SHA-256 ,00 84 82 2C 5F 1C 62 D0 40 ,"17:28:07 Dec 31, 2029 ",Not EV ,5A 88 5D B1 9C 01 D9 12 C5 75 93 88 93 8C AF BB DF 03 1A B2 D4 8E 91 EE 15 58 9B 42 97 1D 03 9C 
TrustCor RootCert CA-1 ,TrustCor RootCert CA-1 ,RSA ,2048 bits ,SHA-256 ,00 DA 9B EC 71 F3 03 B0 19 ,"17:23:16 Dec 31, 2029 ",Not EV ,D4 0E 9C 86 CD 8F E4 68 C1 77 69 59 F4 9E A7 74 FA 54 86 84 B6 C4 06 F3 90 92 61 F4 DC E2 57 5C 
TrustCor RootCert CA-2 ,TrustCor RootCert CA-2 ,RSA ,4096 bits ,SHA-256 ,25 A1 DF CA 33 CB 59 02 ,"17:26:39 Dec 31, 2034 ",Not EV ,07 53 E9 40 37 8C 1B D5 E3 83 6E 39 5D AE A5 CB 83 9E 50 46 F1 BD 0E AE 19 51 CF 10 FE C7 C9 65 
Trustis FPS Root CA ,Trustis FPS Root CA ,RSA ,2048 bits ,SHA-1 ,1B 1F AD B6 20 F9 24 D3 36 6B F7 C7 F1 8C A0 59 ,"11:36:54 Jan 21, 2024 ",Not EV ,C1 B4 82 99 AB A5 20 8F E9 63 0A CE 55 CA 68 A0 3E DA 5A 51 9C 88 02 A0 D3 A6 73 BE 8F 8E 55 7D 
TUBITAK Kamu SM SSL Kok Sertifikasi - Surum 1 ,TUBITAK Kamu SM SSL Kok Sertifikasi - Surum 1 ,RSA ,2048 bits ,SHA-256 ,01 ,"08:25:55 Oct 25, 2043 ",Not EV ,46 ED C3 68 90 46 D5 3A 45 3F B3 10 4A B8 0D CA EC 65 8B 26 60 EA 16 29 DD 7E 86 79 90 64 87 16 
TWCA Global Root CA ,TWCA Global Root CA ,RSA ,4096 bits ,SHA-256 ,0C BE ,"15:59:59 Dec 31, 2030 ",1.3.6.1.4.1.40869.1.1.22.3 2.23.140.1.1 ,59 76 90 07 F7 68 5D 0F CD 50 87 2F 9F 95 D5 75 5A 5B 2B 45 7D 81 F3 69 2B 61 0A 98 67 2F 0E 1B 
TWCA Root Certification Authority ,TWCA Root Certification Authority ,RSA ,2048 bits ,SHA-1 ,01 ,"15:59:59 Dec 31, 2030 ",1.3.6.1.4.1.40869.1.1.22.3 2.23.140.1.1 ,BF D8 8F E1 10 1C 41 AE 3E 80 1B F8 BE 56 35 0E E9 BA D1 A6 B9 BD 51 5E DC 5C 6D 5B 87 11 AC 44 
USERTrust ECC Certification Authority ,USERTrust ECC Certification Authority ,ECDSA ,384 bits ,SHA-384 ,5C 8B 99 C5 5A 94 C5 D2 71 56 DE CD 89 80 CC 26 ,"23:59:59 Jan 18, 2038 ",1.3.6.1.4.1.6449.1.2.1.5.1 2.23.140.1.1 ,4F F4 60 D5 4B 9C 86 DA BF BC FC 57 12 E0 40 0D 2B ED 3F BC 4D 4F BD AA 86 E0 6A DC D2 A9 AD 7A 
USERTrust RSA Certification Authority ,USERTrust RSA Certification Authority ,RSA ,4096 bits ,SHA-384 ,01 FD 6D 30 FC A3 CA 51 A8 1B BC 64 0E 35 03 2D ,"23:59:59 Jan 18, 2038 ",1.3.6.1.4.1.6449.1.2.1.5.1 2.23.140.1.1 ,E7 93 C9 B0 2F D8 AA 13 E2 1C 31 22 8A CC B0 81 19 64 3B 74 9C 89 89 64 B1 74 6D 46 C3 D4 CB D2 
VeriSign Class 1 Public Primary Certification Authority - G3 ,VeriSign Class 1 Public Primary Certification Authority - G3 ,RSA ,2048 bits ,SHA-1 ,00 8B 5B 75 56 84 54 85 0B 00 CF AF 38 48 CE B1 A4 ,"23:59:59 Jul 16, 2036 ",Not EV ,CB B5 AF 18 5E 94 2A 24 02 F9 EA CB C0 ED 5B B8 76 EE A3 C1 22 36 23 D0 04 47 E4 F3 BA 55 4B 65 
VeriSign Class 2 Public Primary Certification Authority - G3 ,VeriSign Class 2 Public Primary Certification Authority - G3 ,RSA ,2048 bits ,SHA-1 ,61 70 CB 49 8C 5F 98 45 29 E7 B0 A6 D9 50 5B 7A ,"23:59:59 Jul 16, 2036 ",Not EV ,92 A9 D9 83 3F E1 94 4D B3 66 E8 BF AE 7A 95 B6 48 0C 2D 6C 6C 2A 1B E6 5D 42 36 B6 08 FC A1 BB 
VeriSign Class 3 Public Primary Certification Authority - G3 ,VeriSign Class 3 Public Primary Certification Authority - G3 ,RSA ,2048 bits ,SHA-1 ,00 9B 7E 06 49 A3 3E 62 B9 D5 EE 90 48 71 29 EF 57 ,"23:59:59 Jul 16, 2036 ",Not EV ,EB 04 CF 5E B1 F3 9A FA 76 2F 2B B1 20 F2 96 CB A5 20 C1 B9 7D B1 58 95 65 B8 1C B9 A1 7B 72 44 
VeriSign Class 3 Public Primary Certification Authority - G4 ,VeriSign Class 3 Public Primary Certification Authority - G4 ,ECDSA ,384 bits ,SHA-384 ,2F 80 FE 23 8C 0E 22 0F 48 67 12 28 91 87 AC B3 ,"23:59:59 Jan 18, 2038 ",2.16.840.1.113733.1.7.23.6 2.23.140.1.1 ,69 DD D7 EA 90 BB 57 C9 3E 13 5D C8 5E A6 FC D5 48 0B 60 32 39 BD C4 54 FC 75 8B 2A 26 CF 7F 79 
VeriSign Class 3 Public Primary Certification Authority - G5 ,VeriSign Class 3 Public Primary Certification Authority - G5 ,RSA ,2048 bits ,SHA-1 ,18 DA D1 9E 26 7D E8 BB 4A 21 58 CD CC 6B 3B 4A ,"23:59:59 Jul 16, 2036 ",2.16.840.1.113733.1.7.23.6 2.23.140.1.1 ,9A CF AB 7E 43 C8 D8 80 D0 6B 26 2A 94 DE EE E4 B4 65 99 89 C3 D0 CA F1 9B AF 64 05 E4 1A B7 DF 
VeriSign Universal Root Certification Authority ,VeriSign Universal Root Certification Authority ,RSA ,2048 bits ,SHA-256 ,40 1A C4 64 21 B3 13 21 03 0E BB E4 12 1A C5 1D ,"23:59:59 Dec 1, 2037 ",2.16.840.1.113733.1.7.23.6 2.23.140.1.1 ,23 99 56 11 27 A5 71 25 DE 8C EF EA 61 0D DF 2F A0 78 B5 C8 06 7F 4E 82 82 90 BF B8 60 E8 4B 3C 
Visa eCommerce Root ,Visa eCommerce Root ,RSA ,2048 bits ,SHA-1 ,13 86 35 4D 1D 3F 06 F2 C1 F9 65 05 D5 90 1C 62 ,"00:16:12 Jun 24, 2022 ",Not EV ,69 FA C9 BD 55 FB 0A C7 8D 53 BB EE 5C F1 D5 97 98 9F D0 AA AB 20 A2 51 51 BD F1 73 3E E7 D1 22 
Visa Information Delivery Root CA ,Visa Information Delivery Root CA ,RSA ,2048 bits ,SHA-1 ,5B 57 D7 A8 4C B0 AF D9 D3 6F 4B A0 31 B4 D6 E2 ,"17:42:42 Jun 29, 2025 ",Not EV ,C5 7A 3A CB E8 C0 6B A1 98 8A 83 48 5B F3 26 F2 44 87 75 37 98 49 DE 01 CA 43 57 1A F3 57 E7 4B 
VRK Gov. Root CA ,VRK Gov. Root CA ,RSA ,2048 bits ,SHA-1 ,01 86 A0 ,"13:51:08 Dec 18, 2023 ",Not EV ,F0 08 73 3E C5 00 DC 49 87 63 CC 92 64 C6 FC EA 40 EC 22 00 0E 92 7D 05 3C E9 C9 0B FA 04 6C B2 
XRamp Global Certification Authority ,XRamp Global Certification Authority ,RSA ,2048 bits ,SHA-1 ,50 94 6C EC 18 EA D5 9C 4D D5 97 EF 75 8F A0 AD ,"05:37:19 Jan 1, 2035 ",2.16.840.1.114404.1.1.2.4.1 2.23.140.1.1 ,CE CD DC 90 50 99 D8 DA DF C5 B1 D2 09 B7 37 CB E2 C1 8C FB 2C 10 C0 FF 0B CF 0D 32 86 FC 1A A2
Blocked certificates,,,,,,,,
,,,,,,,,
Certificate name,Issued by,Type,Key size,Sig alg,Serial number,Expires,EV policy,Fingerprint (SHA-256)
Class 3 Public Primary Certification Authority,Class 3 Public Primary Certification Authority ,RSA,1024 bits ,SHA-1,3C 91 31 CB 1F F6 D0 1B 0E 9A B8 D0 44 BF 12 BE ,8/2/28 23:59,Not EV ,A4 B6 B3 99 6F C2 F3 06 B3 FD 86 81 BD 63 41 3D 8C 50 09 CC 4F A3 29 C2 CC F0 E2 FA 1B 14 03 05
DigiNotar Public CA 2025 ,DigiNotar Root CA,RSA ,2048 bits,SHA-1 ,1E 7D 7A 53 3D 45 30 41 96 40 0F 71 48 1F 45 04,"16:07:02 Mar 28, 2025 ",Not EV,16 85 BA 27 FD F2 4C EC E2 03 FD 82 9A C3 FE D5 C8 54 60 ED 07 35 B2 D1 57 51 01 9E 95 15 40 C0 
DigiNotar Qualified CA,DigiNotar Root CA ,RSA,2048 bits ,SHA-1,5B D5 60 9C 64 17 68 CF 21 0E 35 FD FB 05 AD 41 ,4/21/25 17:18,Not EV ,5B F3 A3 B7 93 46 5F 37 67 D7 C7 B4 A0 3D 80 36 7C 89 57 C4 98 29 9C 29 B9 03 F3 3F E3 40 AF 7A
DigiNotar Root CA G2 ,DigiNotar Root CA G2,RSA ,4096 bits,SHA-256 ,0A 82 BD 1E 14 4E 88 14 D7 5B 1A 55 27 BE BF 3E,"13:59:02 Jul 3, 2029 ",Not EV,29 4F 55 EF 3B D7 24 4C 6F F8 A6 8A B7 97 E9 18 6E C2 75 82 75 1A 79 15 15 E3 29 2E 48 37 2D 61 
DigiNotar Root CA,DigiNotar Root CA ,RSA,4096 bits ,SHA-1,00 E9 41 4E AA 63 E3 65 C4 0A 2F E3 FD 52 2E E2 99 ,5/14/27 16:27,Not EV ,6B F5 53 3D 0D DE AF 02 3D 58 E4 01 27 7C 26 44 2B 1F 1A F1 A0 F2 DB BD 9B 2E 3B A3 A2 92 FB 23
DigiNotar Root CA ,DigiNotar Root CA,RSA ,4096 bits,SHA-1 ,0C 76 DA 9C 91 0C 4E 2C 9E FE 15 D0 58 93 3C 4C,"18:19:21 Mar 31, 2025 ",Not EV,0D 13 6E 43 9F 0A B6 E9 7F 3A 02 A5 40 DA 9F 06 41 AA 55 4E 1D 66 EA 51 AE 29 20 D5 1B 2F 72 17 
DigiNotar Services 1024 CA,DigiNotar Root CA ,RSA,1024 bits ,SHA-1,36 16 71 55 43 42 1B 9D E6 CB A3 64 41 DF 24 38 ,3/29/25 13:27,Not EV ,71 25 34 59 E5 E6 4D 1F 90 77 A5 C4 58 99 9B 67 D7 D9 E7 07 06 AF 68 0B 04 5E B1 D2 7B 79 E3 8F
DigiNotar Services CA ,DigiNotar Root CA,RSA ,2048 bits,SHA-1 ,00 F1 4A 13 F4 87 2B 56 DC 39 DF 84 CA 7A A1 06 49,"16:53:46 Mar 28, 2025 ",Not EV,A6 A2 21 7C 1D 19 2F E7 1F CE 87 87 01 67 01 1C 26 E1 A9 B8 58 2F 5F 08 D8 EC B9 B3 20 9F 5F DB 
"Trustwave Organization Issuing CA, Level 2",XRamp Global Certification Authority ,RSA,2048 bits ,SHA-1,41 90 AB BC ,12/22/28 23:47,Not EV ,77 DE CE 80 00 96 4A 74 AE ED 68 5C 0C 93 01 F0 81 A2 9B 6F 18 03 B1 42 30 DB D0 BA C7 A3 9C FC
WoSign CA Free SSL Certificate G2 ,Certification Authority of WoSign,RSA ,2048 bits,SHA-256 ,38 F6 45 C1 E2 5D 91 2C CE 3B 2B 39 12 31 74 0D,"00:58:58 Nov 8, 2029 ",Not EV,41 A2 35 AB 60 F0 64 3E 75 2A 2D B4 E9 14 D6 8C 05 42 16 7D E9 CA 28 DF 25 FD 79 A6 93 C2 90 72
