Certificate name,Issued by,Type,Key size,Sig alg,Serial number,Expires,EV policy,Fingerprint (SHA-256)
COMODO Certification Authority ,COMODO Certification Authority ,RSA ,2048 bits ,SHA-1 ,4E 81 2D 8A 82 65 E0 0B 02 EE 3E 35 02 46 E5 3D ,"23:59:59 Dec 31, 2029 ",1.3.6.1.4.1.6449.1.2.1.5.1 2.23.140.1.1 ,0C 2C D6 3D F7 80 6F A3 99 ED E8 09 11 6B 57 5B F8 79 89 F0 65 18 F9 80 8C 86 05 03 17 8B AF 66 
COMODO ECC Certification Authority ,COMODO ECC Certification Authority ,ECDSA ,384 bits ,SHA-384 ,1F 47 AF AA 62 00 70 50 54 4C 01 9E 9B 63 99 2A ,"23:59:59 Jan 18, 2038 ",1.3.6.1.4.1.6449.1.2.1.5.1 2.23.140.1.1 ,17 93 92 7A 06 14 54 97 89 AD CE 2F 8F 34 F7 F0 B6 6D 0F 3A E3 A3 B8 4D 21 EC 15 DB BA 4F AD C7 
COMODO RSA Certification Authority ,COMODO RSA Certification Authority ,RSA ,4096 bits ,SHA-384 ,4C AA F9 CA DB 63 6F E0 1F F7 4E D8 5B 03 86 9D ,"23:59:59 Jan 18, 2038 ",1.3.6.1.4.1.6449.1.2.1.5.1 2.23.140.1.1 ,52 F0 E1 C4 E5 8E C6 29 29 1B 60 31 7F 07 46 71 B8 5D 7E A8 0D 5B 07 27 34 63 53 4B 32 B4 02 34 
ComSign Global Root CA ,ComSign Global Root CA ,RSA ,4096 bits ,SHA-256 ,00 8F 61 71 15 BA 79 58 17 8C 7D 11 3A AC D6 DB AE ,"10:24:55 Jul 16, 2036 ",Not EV ,26 05 87 5A FC C1 76 B2 D6 6D D6 6A 99 5D 7F 8D 5E BB 86 CE 12 0D 0E 7E 9E 7C 6E F2 94 A2 7D 4C 
D-TRUST Root CA 3 2013 ,D-TRUST Root CA 3 2013 ,RSA ,2048 bits ,SHA-256 ,0F DD AC ,"08:25:51 Sep 20, 2028 ",Not EV ,A1 A8 6D 04 12 1E B8 7F 02 7C 66 F5 33 03 C2 8E 57 39 F9 43 FC 84 B3 8A D6 AF 00 90 35 DD 94 57 
D-TRUST Root Class 3 CA 2 2009 ,D-TRUST Root Class 3 CA 2 2009 ,RSA ,2048 bits ,SHA-256 ,09 83 F3 ,"08:35:58 Nov 5, 2029 ",Not EV ,49 E7 A4 42 AC F0 EA 62 87 05 00 54 B5 25 64 B6 50 E4 F4 9E 42 E3 48 D6 AA 38 E0 39 E9 57 B1 C1 
D-TRUST Root Class 3 CA 2 EV 2009 ,D-TRUST Root Class 3 CA 2 EV 2009 ,RSA ,2048 bits ,SHA-256 ,09 83 F4 ,"08:50:46 Nov 5, 2029 ",1.3.6.1.4.1.4788.2.202.1 2.23.140.1.1 ,EE C5 49 6B 98 8C E9 86 25 B9 34 09 2E EC 29 08 BE D0 B0 F3 16 C2 D4 73 0C 84 EA F1 F3 D3 48 81 
DigiCert Assured ID Root CA ,DigiCert Assured ID Root CA ,RSA ,2048 bits ,SHA-1 ,0C E7 E0 E5 17 D8 46 FE 8F E5 60 FC 1B F0 30 39 ,"00:00:00 Nov 10, 2031 ",Not EV ,3E 90 99 B5 01 5E 8F 48 6C 00 BC EA 9D 11 1E E7 21 FA BA 35 5A 89 BC F1 DF 69 56 1E 3D C6 32 5C 
DigiCert Assured ID Root G2 ,DigiCert Assured ID Root G2 ,RSA ,2048 bits ,SHA-256 ,0B 93 1C 3A D6 39 67 EA 67 23 BF C3 AF 9A F4 4B ,"12:00:00 Jan 15, 2038 ",2.16.840.1.114412.2.1 2.23.140.1.1 ,7D 05 EB B6 82 33 9F 8C 94 51 EE 09 4E EB FE FA 79 53 A1 14 ED B2 F4 49 49 45 2F AB 7D 2F C1 85 
DigiCert Assured ID Root G3 ,DigiCert Assured ID Root G3 ,ECDSA ,384 bits ,SHA-384 ,0B A1 5A FA 1D DF A0 B5 49 44 AF CD 24 A0 6C EC ,"12:00:00 Jan 15, 2038 ",2.16.840.1.114412.2.1 2.23.140.1.1 ,7E 37 CB 8B 4C 47 09 0C AB 36 55 1B A6 F4 5D B8 40 68 0F BA 16 6A 95 2D B1 00 71 7F 43 05 3F C2 
DigiCert Global Root CA ,DigiCert Global Root CA ,RSA ,2048 bits ,SHA-1 ,08 3B E0 56 90 42 46 B1 A1 75 6A C9 59 91 C7 4A ,"00:00:00 Nov 10, 2031 ",Not EV ,43 48 A0 E9 44 4C 78 CB 26 5E 05 8D 5E 89 44 B4 D8 4F 96 62 BD 26 DB 25 7F 89 34 A4 43 C7 01 61 
